knob,knob_value,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,energy_mean
settling_us,5,0,0.7384368896484375,0.0006042480468750888,0.0001933413905908245,1.660745695391181e-05,254956.775
settling_us,10,0,0.7424508231026786,0.0016113281249999778,0.0004387402104014687,1.373207267046584e-05,224890.37142857144
goertzel_total,20,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676379440444e-05,14800.0
goertzel_total,36,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676379248605e-05,59200.0
kstep,3,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676378659968e-05,236800.0
goertzel_total,68,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676378659968e-05,236800.0
kstep,4,0,0.7357177734375,0.0004028320312500222,0.0002014160156250111,1.857743472189524e-05,225792.0
kstep,6,0,0.738336181640625,0.0016113281249999778,0.0008056640624999889,1.6680288646126636e-05,247808.0
kstep,5,0,0.737127685546875,0.0008056640624999334,0.0004028320312499667,1.756444457056384e-05,247808.0
kstep,7,0,0.7391418457031252,0.006445312500000022,0.0022787620878082174,1.610093553636002e-05,236800.0
kstep,8,0,0.739141845703125,0.006445312500000022,0.0032226562500000115,1.611242429540178e-05,225792.0
settling_us,15,0,0.7388397216796875,0.0006042480468749778,0.00019334139059079536,1.6311897570770625e-05,257103.64642857143
goertzel_total,132,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676378211217e-05,947200.0
settling_us,25,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.857767786466752e-05,228335.75
settling_us,50,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577680495964373e-05,235402.0
goertzel_total,260,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676377968003e-05,3788800.0
dither_amp_v,0.006,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577786442381126e-05,15616.0
settling_us,100,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.857767637870775e-05,236800.0
dither_amp_v,0.012,0,0.7360198974609377,0.0002014160156249556,0.0001007080078124778,1.836387681444119e-05,61952.0
dither_amp_v,0.024,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.857767637868411e-05,236800.0
dither_amp_v,0.048,0,0.7362213134765626,0.0002014160156250666,0.0001007080078125333,1.8219905160391765e-05,946688.0
goertzel_total,516,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676377853152e-05,15155200.0
settling_us,200,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676377730752e-05,236800.0
goertzel_total,1028,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676377795276e-05,60620800.0
settling_us,400,0,0.7357177734375,0.0004028320312500222,0.00014242263048802096,1.8577676377731372e-05,236800.0
